project_key,nk_company_id,nk_project_id,nk_org_id,nk_employee_id,nk_level_number,project_type,project_name,project_long_name,billable_project_flag,active_flag,project_classification,project_end_date,project_start_date,account_group_code,time_collection_project_flag,revenue_formula_code,revenue_formula_description,bill_info_flag,project_total_value,project_level2_value,proj_link_name,proj_link_cust_id,customer_name,supervisor_id,supervisor_name,pm_id,project_manager,project_classification_type,project_linked_project_name,linked_project_contract_value,billing_currency_cd,contract_value_usd,row_is_current,Client Go Live,Complexity,Country,City,Project Status,Risk Metric
PRJ2023-172,COMP94742,PROJ5352,ORG18208,,LVL2,IT Consulting,Web Application Development,,,,Enterprise,24/07/2024,13/05/2022,ACC239,SUP5559,,,,,,,,Phillips and Sons,SUP8842,Neil Garza,PM8252,Abigail Harmon,,,,,15867,,02/08/2024,Low,Spain,East Amberberg,In Progress,High
PRJ2028-911,COMP72170,PROJ5276,ORG90987,,LVL2,Software Development,Managed Helpdesk Services,,,,Small Business,01/02/2024,11/02/2023,ACC312,SUP7548,,,,,,,,"Molina, Willis and Walker",SUP1818,Cassidy Bowen,PM4204,Vanessa Morrison,,,,,32416,,01/03/2024,Low,Germany,Markport,In Progress,High
PRJ2022-932,COMP38041,PROJ4486,ORG44643,,LVL3,Software Development,IT Audit and Compliance,,,,Small Business,25/08/2024,28/10/2023,ACC431,SUP2050,,,,,,,,Jones-Sullivan,SUP6312,Andrew Williams,PM2819,Walter Bailey,,,,,24691,,12/09/2024,Low,Spain,New Kaitlinstad,In Progress,Medium
PRJ2026-483,COMP48500,PROJ2928,ORG28244,,LVL3,IT Consulting,Database Migration,,,,Enterprise,28/07/2023,21/06/2022,ACC571,SUP3784,,,,,,,,Nunez-Adams,SUP2849,Lauren Ho,PM9051,Curtis Graham Jr.,,,,,17621,,18/08/2023,High,Australia,Toddfurt,In Progress,High
PRJ2025-617,COMP45156,PROJ9007,ORG39788,,LVL2,IT Infrastructure,Data Analytics Platform Implementation,,,,Enterprise,15/07/2026,13/07/2024,ACC965,SUP8313,,,,,,,,Villa-Williams,SUP9524,Katherine Smith,PM8827,Alexander Saunders,,,,,29425,,23/07/2026,Medium,UK,Jennifermouth,Completed,High
PRJ2023-316,COMP31916,PROJ5582,ORG87807,,LVL2,IT Infrastructure,Infrastructure Upgrade,,,,Enterprise,06/07/2026,13/03/2024,ACC644,SUP7660,,,,,,,,"Robinson, Edwards and Evans",SUP1241,Kyle Harper,PM5676,Dillon Jennings,,,,,41010,,04/08/2026,High,Spain,North Jeffreyfurt,In Progress,High
PRJ2024-271,COMP82032,PROJ7195,ORG19798,,LVL3,IT Infrastructure,Client Portal Revamp,,,,Enterprise,,11/07/2024,ACC459,SUP3143,,,,,,,,"Mitchell, Cox and Jackson",SUP2566,Steven Whitney,PM3056,Wesley Hernandez,,,,,17071,,,High,Australia,Hammondbury,Completed,Medium
PRJ2028-404,COMP45602,PROJ7963,ORG80348,,LVL1,IT Consulting,CRM Implementation,,,,Enterprise,,27/08/2021,ACC418,SUP4220,,,,,,,,Underwood PLC,SUP7377,Melissa Clark PhD,PM6701,Candace Taylor,,,,,44451,,,High,Germany,Morrisport,Completed,High
PRJ2022-784,COMP10133,PROJ1434,ORG73237,,LVL3,IT Consulting,Client Portal Revamp,,,,Enterprise,28/04/2021,24/05/2021,ACC225,SUP1909,,,,,,,,Jones-Barry,SUP8136,James Hancock,PM3496,Robin Blackburn,,,,,25784,,27/05/2021,Low,USA,Burchbury,Completed,High
PRJ2028-937,COMP56518,PROJ7088,ORG16874,,LVL3,IT Infrastructure,Managed Helpdesk Services,,,,Small Business,12/10/2023,07/09/2023,ACC488,SUP6273,,,,,,,,Harris-Vance,SUP4421,Jennifer Martinez,PM5866,Seth Beard,,,,,25576,,20/10/2023,Medium,UK,West Caitlin,In Progress,Medium
