project_manager,employee_id,hire_date,Salary/Rate,employee_type,termination_date,Department/Team
Aaron Butler,PM8214,06/05/2023,72407,fixed term,,Database Administration
Aaron Cole,PM3703,08/11/2023,477,contract,,Quality Assurance (QA)
Aaron Gonzalez,PM3082,25/04/2024,77951,permanent,,Network and Infrastructure
Aaron Leon,PM4804,03/11/2020,417,contract,,Web Development
Aaron Mcdaniel,PM3573,24/08/2023,575,contract,,IT Support/Helpdesk
Aaron Ramirez,PM6232,23/08/2022,412,contract,,Quality Assurance (QA)
Aaron Walton,PM8748,16/11/2022,72820,fixed term,,Cybersecurity
Aaron White,PM9766,16/03/2021,78243,fixed term,,Cybersecurity
Abigail Collins,PM4456,16/04/2023,633,contract,,Project Management Office (PMO)
Abigail Goodman,PM6505,22/11/2021,67629,fixed term,,Project Management Office (PMO)
Abigail Harmon,PM8252,13/04/2022,78847,fixed term,,Network and Infrastructure
Abigail Mccann,PM7274,30/01/2024,670,contract,,Project Management Office (PMO)
Adam Becker,PM2740,18/01/2024,671,contract,,Web Development
Adam Bruce,PM2615,31/12/2021,71740,fixed term,,Database Administration
Adam Decker,PM3396,12/09/2023,79086,fixed term,,IT Support/Helpdesk
Adam Espinoza,PM5233,16/05/2021,82699,fixed term,,Project Management Office (PMO)
Adam Green,PM7823,11/12/2023,72183,permanent,,Web Development
Adam Martin,PM7135,25/07/2024,83057,fixed term,,Database Administration
Adam Martinez,PM9851,03/03/2023,67689,fixed term,,IT Operations
Adam Massey,PM2693,22/05/2021,76341,fixed term,,Cybersecurity
Adam Mcdaniel,PM2126,08/11/2024,77473,permanent,,IT Operations
Adam Mitchell,PM2409,26/10/2021,517,contract,,Database Administration
Adam Morris,PM9929,13/06/2024,84270,fixed term,,Web Development
Adam Newman PhD,PM3126,12/04/2024,75791,permanent,,Database Administration
Adam Smith,PM5390,17/04/2021,376,contract,,IT Support/Helpdesk
Adam Vaughan,PM6498,02/08/2024,65931,permanent,,Cybersecurity
Adam Ward,PM8703,25/05/2024,68965,fixed term,,Cybersecurity
Adam Warren,PM2130,02/11/2021,378,contract,,Business Analysis
Adrian Beck,PM4688,10/04/2022,74161,permanent,,IT Support/Helpdesk
Adrian Nelson,PM6029,06/12/2023,82660,fixed term,,Mobile Development
Adriana Morris,PM8478,04/10/2023,74627,permanent,,Business Analysis
Adrienne Owens,PM2100,28/05/2022,70487,fixed term,,Quality Assurance (QA)
Aimee Graves,PM4118,09/01/2024,75467,permanent,,Mobile Development
Alan Olsen,PM9344,02/08/2023,561,contract,,Project Management Office (PMO)
Alan Richards,PM9241,03/06/2023,70414,permanent,,IT Support/Helpdesk
Albert Kim,PM4079,29/01/2022,402,contract,,Project Management Office (PMO)
Albert Ortiz,PM9177,22/08/2023,82955,permanent,,Business Analysis
Albert Rodriguez,PM3792,09/07/2023,65881,permanent,,Network and Infrastructure
Albert Stewart,PM8897,20/04/2023,74012,fixed term,,Database Administration
Albert Vaughan,PM8339,10/06/2023,70865,permanent,,Network and Infrastructure
Alec Rangel,PM5717,23/03/2024,75873,fixed term,,Cybersecurity
Alejandra Copeland,PM3939,09/10/2022,483,contract,,Network and Infrastructure
Alejandro Rodriguez,PM6300,28/01/2024,83854,permanent,,Training and Documentation
Alex Martin,PM5303,19/04/2022,69126,fixed term,,IT Operations
